time,vehicles
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
100,0
106,0
112,0
118,0
124,0
130,0
136,1
142,0
148,0
154,0
160,0
166,0
172,0
178,0
184,0
200,0
206,0
212,0
218,0
224,1
230,0
236,0
242,0
248,0
254,0
260,0
266,0
272,0
278,0
284,0
300,0
306,0
312,0
318,0
324,0
330,0
336,0
342,0
348,0
354,0
360,0
366,0
372,1
378,0
384,0
400,0
406,0
412,0
418,1
424,0
430,0
436,0
442,0
448,0
454,0
460,0
466,0
472,0
478,0
484,0
500,0
506,0
512,0
518,0
524,0
530,0
536,0
542,0
548,0
554,0
560,1
566,0
572,0
578,0
584,0
600,0
606,0
612,0
618,0
624,0
630,0
636,0
642,0
648,0
654,0
660,0
666,0
672,0
678,1
684,0
700,0
706,0
712,0
718,0
724,0
730,0
736,0
742,0
748,0
754,0
760,0
766,0
772,0
778,0
784,0
800,0
806,0
812,0
818,0
824,0
830,0
836,0
842,0
848,1
854,0
860,0
866,0
872,0
878,0
884,0
900,0
906,0
912,0
918,0
924,0
930,0
936,0
942,0
948,0
954,0
960,0
966,0
972,0
978,0
984,1
1000,0
1006,0
1012,0
1018,0
1024,0
1030,0
1036,0
1042,0
1048,0
1054,0
1060,0
1066,0
1072,0
1078,0
1084,0
1100,0
1106,0
1112,0
1118,1
1124,0
1130,0
1136,0
1142,0
1148,0
1154,0
1160,0
1166,0
1172,0
1178,0
1184,0
1200,0
1206,0
1212,0
1218,0
1224,0
1230,0
1236,0
1242,0
1248,1
1254,0
1260,0
1266,0
1272,0
1278,0
1284,0
1300,0
1306,0
1312,0
1318,0
1324,1
1330,0
1336,0
1342,0
1348,0
1354,0
1360,0
1366,0
1372,0
1378,0
1384,0
1400,0
1406,0
1412,0
1418,0
1424,0
1430,0
1436,0
1442,0
1448,0
1454,0
1460,0
1466,0
1472,0
1478,1
1484,0
1500,0
1506,0
1512,1
1518,0
1524,0
1530,0
1536,0
1542,0
1548,0
1554,1
1560,0
1566,0
1572,0
1578,0
1584,0
1600,0
1606,0
1612,0
1618,0
1624,0
1630,0
1636,0
1642,0
1648,0
1654,0
1660,0
1666,0
1672,0
1678,0
1684,0
1700,0
1706,0
1712,0
1718,0
1724,0
1730,0
1736,0
1742,0
1748,0
1754,0
1760,0
1766,0
1772,0
1778,0
1784,0
1800,0
1806,0
1812,0
1818,0
1824,0
1830,0
1836,0
1842,0
1848,0
1854,0
1860,0
1866,0
1872,0
1878,0
1884,0
1900,0
1906,0
1912,0
1918,0
1924,0
1930,0
1936,0
1942,0
1948,0
1954,0
1960,0
1966,0
1972,0
1978,1
1984,0
2000,1
2006,0
2012,0
2018,0
2024,0
2030,0
2036,0
2042,0
2048,0
2054,0
2060,0
2066,0
2072,0
2078,0
2084,0
2100,0
2106,0
2112,0
2118,0
2124,0
2130,2
2136,0
2142,0
2148,0
2154,0
2160,0
2166,0
2172,0
2178,0
2184,0
2200,0
2206,0
2212,0
2218,0
2224,0
2230,1
2236,0
2242,0
2248,0
2254,0
2260,0
2266,0
2272,1
2278,0
2284,0
2300,0
2306,0
2312,0
2318,0
2324,0
2330,0
2336,0
2342,0
2348,0
2354,1
2360,0
2366,0
2372,0
2378,0
2384,0
2400,0
2406,0
2412,0
2418,0
2424,0
2430,0
2436,0
2442,0
2448,0
2454,2
2460,0
2466,0
2472,0
2478,0
2484,0
2500,0
2506,0
2512,1
2518,0
2524,0
2530,0
2536,0
2542,0
2548,0
2554,0
2560,0
2566,1
2572,0
2578,0
2584,0
2600,0
2606,1
2612,0
2618,0
2624,0
2630,0
2636,1
2642,0
2648,0
2654,0
2660,0
2666,0
2672,0
2678,0
2684,0
2700,0
2706,0
2712,0
2718,0
2724,1
2730,0
2736,0
2742,0
2748,0
2754,0
2760,0
2766,0
2772,0
2778,0
2784,0
2800,0
2806,0
2812,0
2818,0
2824,0
2830,0
2836,0
2842,0
2848,0
2854,0
2860,0
2866,0
2872,0
2878,0
2884,0
2900,0
2906,0
2912,0
2918,0
2924,0
2930,0
2936,0
2942,0
2948,0
2954,0
2960,0
2966,0
2972,0
2978,0
2984,0
3000,0
3006,0
3012,0
3018,0
3024,0
3030,0
3036,0
3042,0
3048,0
3054,0
3060,0
3066,0
3072,0
3078,0
3084,0
3100,0
3106,0
3112,0
3118,0
3124,0
3130,0
3136,0
3142,0
3148,0
3154,0
3160,0
3166,0
3172,0
3178,0
3184,0
3200,0
3206,0
3212,0
3218,1
3224,0
3230,0
3236,0
3242,0
3248,0
3254,0
3260,0
3266,0
3272,0
3278,0
3284,1
3300,0
3306,0
3312,0
3318,0
3324,0
3330,0
3336,0
3342,0
3348,0
3354,0
3360,0
3366,0
3372,0
3378,0
3384,0
3400,0
3406,0
3412,0
3418,0
3424,0
3430,0
3436,0
3442,0
3448,0
3454,0
3460,0
3466,0
3472,0
3478,0
3484,0
3500,0
3506,0
3512,0
3518,0
3524,0
3530,0
3536,0
3542,0
3548,0
3554,0
3560,0
3566,0
3572,0
3578,0
3584,1
3600,0
3606,0
3612,0
3618,0
3624,0
3630,0
3636,0
3642,0
3648,0
3654,0
3660,0
3666,0
3672,0
3678,1
3684,0
3700,0
3706,0
3712,0
3718,0
3724,0
3730,0
3736,0
3742,0
3748,0
3754,0
3760,0
3766,0
3772,0
3778,0
3784,0
3800,0
3806,0
3812,0
3818,0
3824,0
3830,0
3836,0
3842,0
3848,0
3854,0
3860,0
3866,0
3872,0
3878,0
3884,0
3900,0
3906,0
3912,0
3918,0
3924,0
3930,0
3936,0
3942,0
3948,0
3954,1
3960,1
3966,0
3972,0
3978,0
3984,0
4000,0
4006,0
4012,0
4018,0
4024,0
4030,0
4036,0
4042,0
4048,0
4054,0
4060,0
4066,0
4072,0
4078,0
4084,0
4100,0
4106,0
4112,0
4118,0
4124,0
4130,0
4136,0
4142,0
4148,0
4154,0
4160,0
4166,0
4172,0
4178,0
4184,0
4200,0
4206,0
4212,0
4218,0
4224,0
4230,0
4236,0
4242,0
4248,0
4254,1
4260,0
4266,0
4272,0
4278,0
4284,0
4300,0
4306,0
4312,0
4318,0
4324,0
4330,0
4336,0
4342,0
4348,0
4354,0
4360,0
4366,0
4372,0
4378,0
4384,0
4400,0
4406,0
4412,0
4418,0
4424,0
4430,1
4436,0
4442,0
4448,0
4454,0
4460,0
4466,0
4472,0
4478,0
4484,0
4500,0
4506,0
4512,0
4518,0
4524,0
4530,0
4536,1
4542,0
4548,0
4554,0
4560,0
4566,0
4572,0
4578,0
4584,0
4600,0
4606,0
4612,0
4618,0
4624,0
4630,0
4636,0
4642,0
4648,0
4654,0
4660,0
4666,0
4672,0
4678,0
4684,0
4700,0
4706,0
4712,0
4718,0
4724,0
4730,0
4736,1
4742,0
4748,0
4754,0
4760,0
4766,0
4772,0
4778,0
4784,1
4800,0
4806,0
4812,0
4818,0
4824,0
4830,0
4836,0
4842,0
4848,0
4854,0
4860,0
4866,0
4872,1
4878,0
4884,0
4900,0
4906,1
4912,0
4918,0
4924,1
4930,0
4936,0
4942,0
4948,0
4954,0
4960,0
4966,0
4972,0
4978,0
4984,0
5000,0
5006,0
5012,0
5018,0
5024,0
5030,0
5036,1
5042,0
5048,0
5054,0
5060,0
5066,0
5072,0
5078,0
5084,0
5100,0
5106,0
5112,0
5118,0
5124,0
5130,0
5136,0
5142,0
5148,0
5154,0
5160,0
5166,1
5172,0
5178,0
5184,0
5200,0
5206,0
5212,0
5218,0
5224,0
5230,0
5236,1
5242,0
5248,0
5254,0
5260,1
5266,0
5272,0
5278,0
5284,0
5300,0
5306,0
5312,1
5318,0
5324,0
5330,0
5336,0
5342,0
5348,0
5354,0
5360,0
5366,0
5372,0
5378,0
5384,0
5400,1
5406,0
5412,1
5418,0
5424,0
5430,0
5436,0
5442,0
5448,0
5454,0
5460,0
5466,0
5472,0
5478,0
5484,0
5500,0
5506,0
5512,0
5518,0
5524,0
5530,0
5536,0
5542,0
5548,0
5554,0
5560,0
5566,0
5572,0
5578,0
5584,0
5600,0
5606,0
5612,0
5618,0
5624,0
5630,0
5636,0
5642,0
5648,0
5654,0
5660,0
5666,0
5672,0
5678,1
5684,0
5700,0
5706,0
5712,0
5718,0
5724,0
5730,0
5736,0
5742,1
5748,0
5754,0
5760,0
5766,0
5772,0
5778,0
5784,0
5800,0
5806,0
5812,0
5818,0
5824,0
5830,0
5836,0
5842,1
5848,0
5854,0
5860,0
5866,0
5872,0
5878,0
5884,0
5900,0
5906,0
5912,0
5918,0
5924,0
5930,0
5936,0
